Unnamed: 0,question,answer,slide,week,transcript,content type
33,How can businesses use predictive modeling for customer behavior?,Businesses analyze customer browsing and purchase history to recommend products and optimize marketing strategies. This is commonly seen in e-commerce platforms like Amazon.,2,1,so all these things need these statistics okay so a lot of theories that today little bit please bear with me some theory and then there is some mathematics at the end but hopefully in next module onwards we jump more into the next part of it so brought me we are trying to do some sort of model so somebody answered I'm sorry go answer I see but yeah so they there's some sort of model okay so recently there is a bomb cyclone and a bomb Arctic so they try to model okay there's going to be every one for the next three four days so because of that they are able to control so one is prediction prediction military training to go there we are small fall etc so that is prediction but based on the prediction another government can plan for control steps so that is the idea you know always there's a prediction in control so control is the responsive action what you have to take so because of the excess snowfall the social life got disturbed and there is so much of chaos in society especially people were rooting because there's lack of the basicness cities so the police should be know by effective prediction the control mechanisms can be the correct plan so so most any of you experience this let us take from online so this fraudulent detection you know so did any of you experience this particular accident this transaction fraudulent anybody from online here okay I'll share an example like okay there's something in the chat one of my okay I'll sit together so he's telling them one of his friend experience would you like to share what is the experience city you can unmute and then share you like to share I prefer you mean she and hand so there's calli safety side who are so he shared something in the chat one of my audio is not audible okay no problem thank you so next time please fix it we would like to hear what is the yeah yeah you want to share something but there's something to say the action time yes you mean the experience in statistic analysis sorry I can't hear you clearly Transactions oh I don't have the kind of experience I think the the sound didn't work now because it's really hard to clear clearly to to hear you okay no I think it didn't work so far anybody else is facing oh yes that that's clear okay yeah okay so we were trying to purchase something in the building was quite high you know I don't think I don't know something like that so and then we inserted so it did not work at the first attempt so they said that this transaction appears in the credit card so we know that the card is modified and we wanted to purchase it and the store was about to close 755 but we were an anxiety so we were practically cursing our bank chase why are we in line but they have a certain historical data how much we are spending and all not so based on that we said that okay look you're spending should be within this limit and if it is beyond that so they raised a fraudulent killer it's not that they denied it but they sent a message so they have a control technique the control technique is they sent a message to the app on the mobile if you are purchasing this you know if this transaction is straightforward then press blah blah so when we press that then the next time when we do that so they are here is this fraudulent transaction so based on the historical data they do some sort of prediction so that our own account is not compromised so like that and then patient is sick so this is this is very much previously people used to get this x-ray done and then the x-ray was used by the doctor to see so nowadays there are more you know everything is digital and then there is AI which is going to look at the images and then predictive the person is standing COVID blah blah it's cancer so yeah so these are things and then accordingly that will be a treatment so yeah okay so calli said we wrote yes my friend used to purchase the product from all the other stuff more discount after adding screen shows complete amount data from that or after the same bit exposes to this paper yeah thank you thank you appreciate it okay we need to move fast okay sorry yeah so,open_qa
34,What are some common challenges in predictive modeling?,"Challenges include data quality issues, model biases, overfitting, and unpredictable real-world factors that may impact the accuracy of predictions.",2,1,so all these things need these statistics okay so a lot of theories that today little bit please bear with me some theory and then there is some mathematics at the end but hopefully in next module onwards we jump more into the next part of it so brought me we are trying to do some sort of model so somebody answered I'm sorry go answer I see but yeah so they there's some sort of model okay so recently there is a bomb cyclone and a bomb Arctic so they try to model okay there's going to be every one for the next three four days so because of that they are able to control so one is prediction prediction military training to go there we are small fall etc so that is prediction but based on the prediction another government can plan for control steps so that is the idea you know always there's a prediction in control so control is the responsive action what you have to take so because of the excess snowfall the social life got disturbed and there is so much of chaos in society especially people were rooting because there's lack of the basicness cities so the police should be know by effective prediction the control mechanisms can be the correct plan so so most any of you experience this let us take from online so this fraudulent detection you know so did any of you experience this particular accident this transaction fraudulent anybody from online here okay I'll share an example like okay there's something in the chat one of my okay I'll sit together so he's telling them one of his friend experience would you like to share what is the experience city you can unmute and then share you like to share I prefer you mean she and hand so there's calli safety side who are so he shared something in the chat one of my audio is not audible okay no problem thank you so next time please fix it we would like to hear what is the yeah yeah you want to share something but there's something to say the action time yes you mean the experience in statistic analysis sorry I can't hear you clearly Transactions oh I don't have the kind of experience I think the the sound didn't work now because it's really hard to clear clearly to to hear you okay no I think it didn't work so far anybody else is facing oh yes that that's clear okay yeah okay so we were trying to purchase something in the building was quite high you know I don't think I don't know something like that so and then we inserted so it did not work at the first attempt so they said that this transaction appears in the credit card so we know that the card is modified and we wanted to purchase it and the store was about to close 755 but we were an anxiety so we were practically cursing our bank chase why are we in line but they have a certain historical data how much we are spending and all not so based on that we said that okay look you're spending should be within this limit and if it is beyond that so they raised a fraudulent killer it's not that they denied it but they sent a message so they have a control technique the control technique is they sent a message to the app on the mobile if you are purchasing this you know if this transaction is straightforward then press blah blah so when we press that then the next time when we do that so they are here is this fraudulent transaction so based on the historical data they do some sort of prediction so that our own account is not compromised so like that and then patient is sick so this is this is very much previously people used to get this x-ray done and then the x-ray was used by the doctor to see so nowadays there are more you know everything is digital and then there is AI which is going to look at the images and then predictive the person is standing COVID blah blah it's cancer so yeah so these are things and then accordingly that will be a treatment so yeah okay so calli said we wrote yes my friend used to purchase the product from all the other stuff more discount after adding screen shows complete amount data from that or after the same bit exposes to this paper yeah thank you thank you appreciate it okay we need to move fast okay sorry yeah so,information_extraction
35,How can statistical models help in managing societal crises?,"During crises like pandemics or natural disasters, models help predict infection rates, resource shortages, and economic impacts, enabling governments to take appropriate actions.",2,1,so all these things need these statistics okay so a lot of theories that today little bit please bear with me some theory and then there is some mathematics at the end but hopefully in next module onwards we jump more into the next part of it so brought me we are trying to do some sort of model so somebody answered I'm sorry go answer I see but yeah so they there's some sort of model okay so recently there is a bomb cyclone and a bomb Arctic so they try to model okay there's going to be every one for the next three four days so because of that they are able to control so one is prediction prediction military training to go there we are small fall etc so that is prediction but based on the prediction another government can plan for control steps so that is the idea you know always there's a prediction in control so control is the responsive action what you have to take so because of the excess snowfall the social life got disturbed and there is so much of chaos in society especially people were rooting because there's lack of the basicness cities so the police should be know by effective prediction the control mechanisms can be the correct plan so so most any of you experience this let us take from online so this fraudulent detection you know so did any of you experience this particular accident this transaction fraudulent anybody from online here okay I'll share an example like okay there's something in the chat one of my okay I'll sit together so he's telling them one of his friend experience would you like to share what is the experience city you can unmute and then share you like to share I prefer you mean she and hand so there's calli safety side who are so he shared something in the chat one of my audio is not audible okay no problem thank you so next time please fix it we would like to hear what is the yeah yeah you want to share something but there's something to say the action time yes you mean the experience in statistic analysis sorry I can't hear you clearly Transactions oh I don't have the kind of experience I think the the sound didn't work now because it's really hard to clear clearly to to hear you okay no I think it didn't work so far anybody else is facing oh yes that that's clear okay yeah okay so we were trying to purchase something in the building was quite high you know I don't think I don't know something like that so and then we inserted so it did not work at the first attempt so they said that this transaction appears in the credit card so we know that the card is modified and we wanted to purchase it and the store was about to close 755 but we were an anxiety so we were practically cursing our bank chase why are we in line but they have a certain historical data how much we are spending and all not so based on that we said that okay look you're spending should be within this limit and if it is beyond that so they raised a fraudulent killer it's not that they denied it but they sent a message so they have a control technique the control technique is they sent a message to the app on the mobile if you are purchasing this you know if this transaction is straightforward then press blah blah so when we press that then the next time when we do that so they are here is this fraudulent transaction so based on the historical data they do some sort of prediction so that our own account is not compromised so like that and then patient is sick so this is this is very much previously people used to get this x-ray done and then the x-ray was used by the doctor to see so nowadays there are more you know everything is digital and then there is AI which is going to look at the images and then predictive the person is standing COVID blah blah it's cancer so yeah so these are things and then accordingly that will be a treatment so yeah okay so calli said we wrote yes my friend used to purchase the product from all the other stuff more discount after adding screen shows complete amount data from that or after the same bit exposes to this paper yeah thank you thank you appreciate it okay we need to move fast okay sorry yeah so,open_qa
36,How does AI improve medical diagnosis and treatment?,"AI models analyze patient data, medical histories, and symptoms to predict diseases and suggest personalized treatment plans based on similar past cases.",2,1,so all these things need these statistics okay so a lot of theories that today little bit please bear with me some theory and then there is some mathematics at the end but hopefully in next module onwards we jump more into the next part of it so brought me we are trying to do some sort of model so somebody answered I'm sorry go answer I see but yeah so they there's some sort of model okay so recently there is a bomb cyclone and a bomb Arctic so they try to model okay there's going to be every one for the next three four days so because of that they are able to control so one is prediction prediction military training to go there we are small fall etc so that is prediction but based on the prediction another government can plan for control steps so that is the idea you know always there's a prediction in control so control is the responsive action what you have to take so because of the excess snowfall the social life got disturbed and there is so much of chaos in society especially people were rooting because there's lack of the basicness cities so the police should be know by effective prediction the control mechanisms can be the correct plan so so most any of you experience this let us take from online so this fraudulent detection you know so did any of you experience this particular accident this transaction fraudulent anybody from online here okay I'll share an example like okay there's something in the chat one of my okay I'll sit together so he's telling them one of his friend experience would you like to share what is the experience city you can unmute and then share you like to share I prefer you mean she and hand so there's calli safety side who are so he shared something in the chat one of my audio is not audible okay no problem thank you so next time please fix it we would like to hear what is the yeah yeah you want to share something but there's something to say the action time yes you mean the experience in statistic analysis sorry I can't hear you clearly Transactions oh I don't have the kind of experience I think the the sound didn't work now because it's really hard to clear clearly to to hear you okay no I think it didn't work so far anybody else is facing oh yes that that's clear okay yeah okay so we were trying to purchase something in the building was quite high you know I don't think I don't know something like that so and then we inserted so it did not work at the first attempt so they said that this transaction appears in the credit card so we know that the card is modified and we wanted to purchase it and the store was about to close 755 but we were an anxiety so we were practically cursing our bank chase why are we in line but they have a certain historical data how much we are spending and all not so based on that we said that okay look you're spending should be within this limit and if it is beyond that so they raised a fraudulent killer it's not that they denied it but they sent a message so they have a control technique the control technique is they sent a message to the app on the mobile if you are purchasing this you know if this transaction is straightforward then press blah blah so when we press that then the next time when we do that so they are here is this fraudulent transaction so based on the historical data they do some sort of prediction so that our own account is not compromised so like that and then patient is sick so this is this is very much previously people used to get this x-ray done and then the x-ray was used by the doctor to see so nowadays there are more you know everything is digital and then there is AI which is going to look at the images and then predictive the person is standing COVID blah blah it's cancer so yeah so these are things and then accordingly that will be a treatment so yeah okay so calli said we wrote yes my friend used to purchase the product from all the other stuff more discount after adding screen shows complete amount data from that or after the same bit exposes to this paper yeah thank you thank you appreciate it okay we need to move fast okay sorry yeah so,open_qa
37,How does predictive modeling impact online security?,"AI-driven cybersecurity models monitor network traffic and user behavior to detect suspicious activities, preventing cyberattacks, phishing scams, and unauthorized access attempts.",2,1,so all these things need these statistics okay so a lot of theories that today little bit please bear with me some theory and then there is some mathematics at the end but hopefully in next module onwards we jump more into the next part of it so brought me we are trying to do some sort of model so somebody answered I'm sorry go answer I see but yeah so they there's some sort of model okay so recently there is a bomb cyclone and a bomb Arctic so they try to model okay there's going to be every one for the next three four days so because of that they are able to control so one is prediction prediction military training to go there we are small fall etc so that is prediction but based on the prediction another government can plan for control steps so that is the idea you know always there's a prediction in control so control is the responsive action what you have to take so because of the excess snowfall the social life got disturbed and there is so much of chaos in society especially people were rooting because there's lack of the basicness cities so the police should be know by effective prediction the control mechanisms can be the correct plan so so most any of you experience this let us take from online so this fraudulent detection you know so did any of you experience this particular accident this transaction fraudulent anybody from online here okay I'll share an example like okay there's something in the chat one of my okay I'll sit together so he's telling them one of his friend experience would you like to share what is the experience city you can unmute and then share you like to share I prefer you mean she and hand so there's calli safety side who are so he shared something in the chat one of my audio is not audible okay no problem thank you so next time please fix it we would like to hear what is the yeah yeah you want to share something but there's something to say the action time yes you mean the experience in statistic analysis sorry I can't hear you clearly Transactions oh I don't have the kind of experience I think the the sound didn't work now because it's really hard to clear clearly to to hear you okay no I think it didn't work so far anybody else is facing oh yes that that's clear okay yeah okay so we were trying to purchase something in the building was quite high you know I don't think I don't know something like that so and then we inserted so it did not work at the first attempt so they said that this transaction appears in the credit card so we know that the card is modified and we wanted to purchase it and the store was about to close 755 but we were an anxiety so we were practically cursing our bank chase why are we in line but they have a certain historical data how much we are spending and all not so based on that we said that okay look you're spending should be within this limit and if it is beyond that so they raised a fraudulent killer it's not that they denied it but they sent a message so they have a control technique the control technique is they sent a message to the app on the mobile if you are purchasing this you know if this transaction is straightforward then press blah blah so when we press that then the next time when we do that so they are here is this fraudulent transaction so based on the historical data they do some sort of prediction so that our own account is not compromised so like that and then patient is sick so this is this is very much previously people used to get this x-ray done and then the x-ray was used by the doctor to see so nowadays there are more you know everything is digital and then there is AI which is going to look at the images and then predictive the person is standing COVID blah blah it's cancer so yeah so these are things and then accordingly that will be a treatment so yeah okay so calli said we wrote yes my friend used to purchase the product from all the other stuff more discount after adding screen shows complete amount data from that or after the same bit exposes to this paper yeah thank you thank you appreciate it okay we need to move fast okay sorry yeah so,open_qa
38,Why is control important after prediction?,"Control ensures that appropriate actions are taken based on predictions. For example, after predicting a medical condition, doctors can administer treatment, or after detecting a fraudulent transaction, banks can block it.",2,1,so all these things need these statistics okay so a lot of theories that today little bit please bear with me some theory and then there is some mathematics at the end but hopefully in next module onwards we jump more into the next part of it so brought me we are trying to do some sort of model so somebody answered I'm sorry go answer I see but yeah so they there's some sort of model okay so recently there is a bomb cyclone and a bomb Arctic so they try to model okay there's going to be every one for the next three four days so because of that they are able to control so one is prediction prediction military training to go there we are small fall etc so that is prediction but based on the prediction another government can plan for control steps so that is the idea you know always there's a prediction in control so control is the responsive action what you have to take so because of the excess snowfall the social life got disturbed and there is so much of chaos in society especially people were rooting because there's lack of the basicness cities so the police should be know by effective prediction the control mechanisms can be the correct plan so so most any of you experience this let us take from online so this fraudulent detection you know so did any of you experience this particular accident this transaction fraudulent anybody from online here okay I'll share an example like okay there's something in the chat one of my okay I'll sit together so he's telling them one of his friend experience would you like to share what is the experience city you can unmute and then share you like to share I prefer you mean she and hand so there's calli safety side who are so he shared something in the chat one of my audio is not audible okay no problem thank you so next time please fix it we would like to hear what is the yeah yeah you want to share something but there's something to say the action time yes you mean the experience in statistic analysis sorry I can't hear you clearly Transactions oh I don't have the kind of experience I think the the sound didn't work now because it's really hard to clear clearly to to hear you okay no I think it didn't work so far anybody else is facing oh yes that that's clear okay yeah okay so we were trying to purchase something in the building was quite high you know I don't think I don't know something like that so and then we inserted so it did not work at the first attempt so they said that this transaction appears in the credit card so we know that the card is modified and we wanted to purchase it and the store was about to close 755 but we were an anxiety so we were practically cursing our bank chase why are we in line but they have a certain historical data how much we are spending and all not so based on that we said that okay look you're spending should be within this limit and if it is beyond that so they raised a fraudulent killer it's not that they denied it but they sent a message so they have a control technique the control technique is they sent a message to the app on the mobile if you are purchasing this you know if this transaction is straightforward then press blah blah so when we press that then the next time when we do that so they are here is this fraudulent transaction so based on the historical data they do some sort of prediction so that our own account is not compromised so like that and then patient is sick so this is this is very much previously people used to get this x-ray done and then the x-ray was used by the doctor to see so nowadays there are more you know everything is digital and then there is AI which is going to look at the images and then predictive the person is standing COVID blah blah it's cancer so yeah so these are things and then accordingly that will be a treatment so yeah okay so calli said we wrote yes my friend used to purchase the product from all the other stuff more discount after adding screen shows complete amount data from that or after the same bit exposes to this paper yeah thank you thank you appreciate it okay we need to move fast okay sorry yeah so,open_qa
39,What is the definition of population according to this slide?,"The population refers to all possible data. It can be real/literal (e.g., all people in New York State) or an idealization (e.g., all past and future closing prices of Tesla's stock).",3,1,there are these two types of data observational data and experiment data so observation data is what we measure we have what we color just like you j told you know so the government is collecting the income and our income numbers from various from a set of population okay so this is observation data so government is not doing any different thing is they are just collecting the numbers but so and then you know we collect the climate data somebody has said about whether you know prediction so we color the data we are not going to do some drastic changes and then see you know all so these are like monitoring and then collecting you know performing the lock maintaining the lock but experimental data yes pinch you any example for experimental data okay do you realize can you say something I will try to put it experiment data okay you know e-commerce e-commerce see here where is the share you know e-commerce alibaba so they say that 50% discount Chinese New Year so now now there's something coming right Chinese New Year so 50% discount you know use this particular product so they will see how many people are interested in that so you do some activity and then you collect the response so that is experimenter okay so we throw a bomb in the and then we see you know how much time it is coming down and then what is the height and so you are conducting an experiment and then you are managing them so there are these two types of observation and an experiment so experiment is like we try to inject various parameters okay 50% discount divali bumper sale sakra people per sale so like that Chinese New Year you know Anuka so there are a lot of things Amazon keeps so that is one thing and then the government so if we say that if you take pocket vaccine so we will give you a hundred dollar voucher so how many people react to it so that's what you know sometimes people do a test okay,closed_qa
40,Can you explain this slide?,"This slide distinguishes between observational and experimental data. Observational data is collected passively without interference, such as measuring income levels or climate data. Experimental data involves actively making changes and observing the effects, such as running a discount campaign to analyze consumer response.",3,1,there are these two types of data observational data and experiment data so observation data is what we measure we have what we color just like you j told you know so the government is collecting the income and our income numbers from various from a set of population okay so this is observation data so government is not doing any different thing is they are just collecting the numbers but so and then you know we collect the climate data somebody has said about whether you know prediction so we color the data we are not going to do some drastic changes and then see you know all so these are like monitoring and then collecting you know performing the lock maintaining the lock but experimental data yes pinch you any example for experimental data okay do you realize can you say something I will try to put it experiment data okay you know e-commerce e-commerce see here where is the share you know e-commerce alibaba so they say that 50% discount Chinese New Year so now now there's something coming right Chinese New Year so 50% discount you know use this particular product so they will see how many people are interested in that so you do some activity and then you collect the response so that is experimenter okay so we throw a bomb in the and then we see you know how much time it is coming down and then what is the height and so you are conducting an experiment and then you are managing them so there are these two types of observation and an experiment so experiment is like we try to inject various parameters okay 50% discount divali bumper sale sakra people per sale so like that Chinese New Year you know Anuka so there are a lot of things Amazon keeps so that is one thing and then the government so if we say that if you take pocket vaccine so we will give you a hundred dollar voucher so how many people react to it so that's what you know sometimes people do a test okay,summarization
41,What is observational data?,"Observational data is collected without interference. Examples include government records on income, weather monitoring, and website traffic analytics.",3,1,there are these two types of data observational data and experiment data so observation data is what we measure we have what we color just like you j told you know so the government is collecting the income and our income numbers from various from a set of population okay so this is observation data so government is not doing any different thing is they are just collecting the numbers but so and then you know we collect the climate data somebody has said about whether you know prediction so we color the data we are not going to do some drastic changes and then see you know all so these are like monitoring and then collecting you know performing the lock maintaining the lock but experimental data yes pinch you any example for experimental data okay do you realize can you say something I will try to put it experiment data okay you know e-commerce e-commerce see here where is the share you know e-commerce alibaba so they say that 50% discount Chinese New Year so now now there's something coming right Chinese New Year so 50% discount you know use this particular product so they will see how many people are interested in that so you do some activity and then you collect the response so that is experimenter okay so we throw a bomb in the and then we see you know how much time it is coming down and then what is the height and so you are conducting an experiment and then you are managing them so there are these two types of observation and an experiment so experiment is like we try to inject various parameters okay 50% discount divali bumper sale sakra people per sale so like that Chinese New Year you know Anuka so there are a lot of things Amazon keeps so that is one thing and then the government so if we say that if you take pocket vaccine so we will give you a hundred dollar voucher so how many people react to it so that's what you know sometimes people do a test okay,closed_qa
42,What is experimental data?,"Experimental data is collected by actively making changes and observing the effects. It is used to determine causation, such as testing the impact of discounts on customer purchases.",3,1,there are these two types of data observational data and experiment data so observation data is what we measure we have what we color just like you j told you know so the government is collecting the income and our income numbers from various from a set of population okay so this is observation data so government is not doing any different thing is they are just collecting the numbers but so and then you know we collect the climate data somebody has said about whether you know prediction so we color the data we are not going to do some drastic changes and then see you know all so these are like monitoring and then collecting you know performing the lock maintaining the lock but experimental data yes pinch you any example for experimental data okay do you realize can you say something I will try to put it experiment data okay you know e-commerce e-commerce see here where is the share you know e-commerce alibaba so they say that 50% discount Chinese New Year so now now there's something coming right Chinese New Year so 50% discount you know use this particular product so they will see how many people are interested in that so you do some activity and then you collect the response so that is experimenter okay so we throw a bomb in the and then we see you know how much time it is coming down and then what is the height and so you are conducting an experiment and then you are managing them so there are these two types of observation and an experiment so experiment is like we try to inject various parameters okay 50% discount divali bumper sale sakra people per sale so like that Chinese New Year you know Anuka so there are a lot of things Amazon keeps so that is one thing and then the government so if we say that if you take pocket vaccine so we will give you a hundred dollar voucher so how many people react to it so that's what you know sometimes people do a test okay,closed_qa
43,Why is observational data important?,"Observational data helps in prediction and estimation, such as forecasting weather patterns or understanding consumer behavior.",3,1,there are these two types of data observational data and experiment data so observation data is what we measure we have what we color just like you j told you know so the government is collecting the income and our income numbers from various from a set of population okay so this is observation data so government is not doing any different thing is they are just collecting the numbers but so and then you know we collect the climate data somebody has said about whether you know prediction so we color the data we are not going to do some drastic changes and then see you know all so these are like monitoring and then collecting you know performing the lock maintaining the lock but experimental data yes pinch you any example for experimental data okay do you realize can you say something I will try to put it experiment data okay you know e-commerce e-commerce see here where is the share you know e-commerce alibaba so they say that 50% discount Chinese New Year so now now there's something coming right Chinese New Year so 50% discount you know use this particular product so they will see how many people are interested in that so you do some activity and then you collect the response so that is experimenter okay so we throw a bomb in the and then we see you know how much time it is coming down and then what is the height and so you are conducting an experiment and then you are managing them so there are these two types of observation and an experiment so experiment is like we try to inject various parameters okay 50% discount divali bumper sale sakra people per sale so like that Chinese New Year you know Anuka so there are a lot of things Amazon keeps so that is one thing and then the government so if we say that if you take pocket vaccine so we will give you a hundred dollar voucher so how many people react to it so that's what you know sometimes people do a test okay,open_qa
44,Why is experimental data important?,"Experimental data allows researchers to test hypotheses and measure the effects of interventions, such as marketing strategies or medical treatments.",3,1,there are these two types of data observational data and experiment data so observation data is what we measure we have what we color just like you j told you know so the government is collecting the income and our income numbers from various from a set of population okay so this is observation data so government is not doing any different thing is they are just collecting the numbers but so and then you know we collect the climate data somebody has said about whether you know prediction so we color the data we are not going to do some drastic changes and then see you know all so these are like monitoring and then collecting you know performing the lock maintaining the lock but experimental data yes pinch you any example for experimental data okay do you realize can you say something I will try to put it experiment data okay you know e-commerce e-commerce see here where is the share you know e-commerce alibaba so they say that 50% discount Chinese New Year so now now there's something coming right Chinese New Year so 50% discount you know use this particular product so they will see how many people are interested in that so you do some activity and then you collect the response so that is experimenter okay so we throw a bomb in the and then we see you know how much time it is coming down and then what is the height and so you are conducting an experiment and then you are managing them so there are these two types of observation and an experiment so experiment is like we try to inject various parameters okay 50% discount divali bumper sale sakra people per sale so like that Chinese New Year you know Anuka so there are a lot of things Amazon keeps so that is one thing and then the government so if we say that if you take pocket vaccine so we will give you a hundred dollar voucher so how many people react to it so that's what you know sometimes people do a test okay,open_qa
45,What industries benefit from observational data?,"Industries such as meteorology, finance, healthcare, and government policy benefit from observational data for predictive modeling.",3,1,there are these two types of data observational data and experiment data so observation data is what we measure we have what we color just like you j told you know so the government is collecting the income and our income numbers from various from a set of population okay so this is observation data so government is not doing any different thing is they are just collecting the numbers but so and then you know we collect the climate data somebody has said about whether you know prediction so we color the data we are not going to do some drastic changes and then see you know all so these are like monitoring and then collecting you know performing the lock maintaining the lock but experimental data yes pinch you any example for experimental data okay do you realize can you say something I will try to put it experiment data okay you know e-commerce e-commerce see here where is the share you know e-commerce alibaba so they say that 50% discount Chinese New Year so now now there's something coming right Chinese New Year so 50% discount you know use this particular product so they will see how many people are interested in that so you do some activity and then you collect the response so that is experimenter okay so we throw a bomb in the and then we see you know how much time it is coming down and then what is the height and so you are conducting an experiment and then you are managing them so there are these two types of observation and an experiment so experiment is like we try to inject various parameters okay 50% discount divali bumper sale sakra people per sale so like that Chinese New Year you know Anuka so there are a lot of things Amazon keeps so that is one thing and then the government so if we say that if you take pocket vaccine so we will give you a hundred dollar voucher so how many people react to it so that's what you know sometimes people do a test okay,information_extraction
46,What industries benefit from experimental data?,"Industries such as e-commerce, pharmaceuticals, and social sciences use experimental data for testing interventions and making data-driven decisions.",3,1,there are these two types of data observational data and experiment data so observation data is what we measure we have what we color just like you j told you know so the government is collecting the income and our income numbers from various from a set of population okay so this is observation data so government is not doing any different thing is they are just collecting the numbers but so and then you know we collect the climate data somebody has said about whether you know prediction so we color the data we are not going to do some drastic changes and then see you know all so these are like monitoring and then collecting you know performing the lock maintaining the lock but experimental data yes pinch you any example for experimental data okay do you realize can you say something I will try to put it experiment data okay you know e-commerce e-commerce see here where is the share you know e-commerce alibaba so they say that 50% discount Chinese New Year so now now there's something coming right Chinese New Year so 50% discount you know use this particular product so they will see how many people are interested in that so you do some activity and then you collect the response so that is experimenter okay so we throw a bomb in the and then we see you know how much time it is coming down and then what is the height and so you are conducting an experiment and then you are managing them so there are these two types of observation and an experiment so experiment is like we try to inject various parameters okay 50% discount divali bumper sale sakra people per sale so like that Chinese New Year you know Anuka so there are a lot of things Amazon keeps so that is one thing and then the government so if we say that if you take pocket vaccine so we will give you a hundred dollar voucher so how many people react to it so that's what you know sometimes people do a test okay,information_extraction
47,How does experimental data help businesses?,"Businesses use experimental data to test strategies like discounts, promotions, and customer incentives to optimize sales and engagement.",3,1,there are these two types of data observational data and experiment data so observation data is what we measure we have what we color just like you j told you know so the government is collecting the income and our income numbers from various from a set of population okay so this is observation data so government is not doing any different thing is they are just collecting the numbers but so and then you know we collect the climate data somebody has said about whether you know prediction so we color the data we are not going to do some drastic changes and then see you know all so these are like monitoring and then collecting you know performing the lock maintaining the lock but experimental data yes pinch you any example for experimental data okay do you realize can you say something I will try to put it experiment data okay you know e-commerce e-commerce see here where is the share you know e-commerce alibaba so they say that 50% discount Chinese New Year so now now there's something coming right Chinese New Year so 50% discount you know use this particular product so they will see how many people are interested in that so you do some activity and then you collect the response so that is experimenter okay so we throw a bomb in the and then we see you know how much time it is coming down and then what is the height and so you are conducting an experiment and then you are managing them so there are these two types of observation and an experiment so experiment is like we try to inject various parameters okay 50% discount divali bumper sale sakra people per sale so like that Chinese New Year you know Anuka so there are a lot of things Amazon keeps so that is one thing and then the government so if we say that if you take pocket vaccine so we will give you a hundred dollar voucher so how many people react to it so that's what you know sometimes people do a test okay,open_qa
